nuc,name,category_name,category_code,total
SAUS,AusStage.,"Music, Audio & Video",music,2273
SAUS,AusStage.,Research & Reports,research,34
SAUS:ANDS,AusStage. Research Data via ANDS.,Books & Libraries,book,0
SAUS:ANDS,AusStage. Research Data via ANDS.,"Diaries, Letters & Archives",diary,0
SAUS:ANDS,AusStage. Research Data via ANDS.,"Images, Maps & Artefacts",image,0
SAUS:ANDS,AusStage. Research Data via ANDS.,Magazines & Newsletters,magazine,0
SAUS:ANDS,AusStage. Research Data via ANDS.,"Music, Audio & Video",music,0
SAUS:ANDS,AusStage. Research Data via ANDS.,Research & Reports,research,1
VAUH,Austin Health. Austin Health Library.,Books & Libraries,book,5523
VAUH,Austin Health. Austin Health Library.,"Diaries, Letters & Archives",diary,15
VAUH,Austin Health. Austin Health Library.,"Images, Maps & Artefacts",image,13
VAUH,Austin Health. Austin Health Library.,Magazines & Newsletters,magazine,0
VAUH,Austin Health. Austin Health Library.,"Music, Audio & Video",music,198
VAUH,Austin Health. Austin Health Library.,Research & Reports,research,276
VAUH:IR,Austin Health. Austin Health Library. Digital Respository.,Books & Libraries,book,1405
VAUH:IR,Austin Health. Austin Health Library. Digital Respository.,"Diaries, Letters & Archives",diary,36
VAUH:IR,Austin Health. Austin Health Library. Digital Respository.,"Images, Maps & Artefacts",image,1
VAUH:IR,Austin Health. Austin Health Library. Digital Respository.,Magazines & Newsletters,magazine,0
VAUH:IR,Austin Health. Austin Health Library. Digital Respository.,"Music, Audio & Video",music,0
VAUH:IR,Austin Health. Austin Health Library. Digital Respository.,Research & Reports,research,18638
VAVSAJ,Australasian Journal of Victorian Studies .,Books & Libraries,book,102
VAVSAJ,Australasian Journal of Victorian Studies .,"Diaries, Letters & Archives",diary,0
VAVSAJ,Australasian Journal of Victorian Studies .,"Images, Maps & Artefacts",image,0
VAVSAJ,Australasian Journal of Victorian Studies .,Magazines & Newsletters,magazine,0
VAVSAJ,Australasian Journal of Victorian Studies .,"Music, Audio & Video",music,0
VAVSAJ,Australasian Journal of Victorian Studies .,Research & Reports,research,1
VPC,Australia Post. Australia Post: POSTlibrary & Knowledge Centre.,Books & Libraries,book,0
VPC,Australia Post. Australia Post: POSTlibrary & Knowledge Centre.,"Diaries, Letters & Archives",diary,0
VPC,Australia Post. Australia Post: POSTlibrary & Knowledge Centre.,"Images, Maps & Artefacts",image,0
VPC,Australia Post. Australia Post: POSTlibrary & Knowledge Centre.,Magazines & Newsletters,magazine,0
VPC,Australia Post. Australia Post: POSTlibrary & Knowledge Centre.,"Music, Audio & Video",music,0
VPC,Australia Post. Australia Post: POSTlibrary & Knowledge Centre.,Research & Reports,research,1
,Australian Academy of Science.,Books & Libraries,book,0
,Australian Academy of Science.,"Diaries, Letters & Archives",diary,0
,Australian Academy of Science.,"Images, Maps & Artefacts",image,0
,Australian Academy of Science.,Magazines & Newsletters,magazine,0
,Australian Academy of Science.,"Music, Audio & Video",music,0
,Australian Academy of Science.,Research & Reports,research,0
AAS:BF,Australian Academy of Science. Basser Library and Fenner Archives.,Books & Libraries,book,1
AAS:BF,Australian Academy of Science. Basser Library and Fenner Archives.,"Diaries, Letters & Archives",diary,0
AAS:BF,Australian Academy of Science. Basser Library and Fenner Archives.,"Images, Maps & Artefacts",image,0
AAS:BF,Australian Academy of Science. Basser Library and Fenner Archives.,Magazines & Newsletters,magazine,0
AAS:BF,Australian Academy of Science. Basser Library and Fenner Archives.,"Music, Audio & Video",music,0
AAS:BF,Australian Academy of Science. Basser Library and Fenner Archives.,Research & Reports,research,0
AAS,Australian Academy of Science. Basser Library.,Books & Libraries,book,0
AAS,Australian Academy of Science. Basser Library.,"Diaries, Letters & Archives",diary,0
